"districtlea","district_name","county_name","shortage_status","retention_prepandemic_pct","retention_recent_pct","retention_change_pp"
"1002000","Arkadelphia School District","Clark County","Not Shortage",87,77,-10
"1003000","Gurdon School District","Clark County","Not Shortage",79.7,75.2,-4.5
"1101000","Corning Public Schools","Clay County","Not Shortage",86,87.2,1.3
"1104000","Piggott School District","Clay County","Not Shortage",89.2,87.1,-2.1
"1106000","Rector School District","Clay County","Shortage",84,85.9,1.9
"1201000","Concord Public Schools","Cleburne County","Not Shortage",85.5,77.9,-7.6
"1202000","Heber Springs School District","Cleburne County","Not Shortage",81.6,79.4,-2.2
"1203000","Quitman School District","Cleburne County","Not Shortage",79.5,81.9,2.4
"1204000","West Side School District","Cleburne County","Not Shortage",85.4,83.7,-1.7
"1304000","Woodlawn School District","Cleveland County","Shortage",83.9,83.3,-0.5
"1305000","Cleveland County School District","Cleveland County","Shortage",87.6,78,-9.6
"1402000","Magnolia School District","Columbia County","Not Shortage",83.6,79.2,-4.4
"1408000","Emerson-Taylor-Bradley School District","Columbia County","Not Shortage",89.6,87.6,-2
"1503000","Nemo Vista School District","Conway County","Not Shortage",85.8,82.3,-3.5
"1505000","Wonderview School District","Conway County","Not Shortage",86.4,82.7,-3.7
"1507000","South Conway County School District","Conway County","Not Shortage",86.3,86.4,0.1
"1601000","Bay School District","Craighead County","Not Shortage",84.2,87.5,3.3
"1602000","Westside Consolidated School District","Craighead County","Not Shortage",87.4,83.1,-4.3
"1603000","Brookland School District","Craighead County","Not Shortage",89.9,91.2,1.3
"1605000","Buffalo Island Central School District","Craighead County","Not Shortage",85.8,88.9,3.1
"1608000","Jonesboro Public Schools","Craighead County","Not Shortage",88.4,83,-5.4
"1611000","Nettleton School District","Craighead County","Not Shortage",85.7,81.3,-4.4
"1612000","Valley View School District","Craighead County","Not Shortage",90.1,92.2,2.2
"1613000","Riverside School District","Craighead County","Not Shortage",90.5,92.9,2.3
"1701000","Alma School District","Crawford County","Not Shortage",90.8,85.3,-5.5
"1702000","Cedarville School District","Crawford County","Not Shortage",84.9,82.8,-2
"1703000","Mountainburg Schools","Crawford County","Shortage",90.6,78.1,-12.5
"1704000","Mulberry School District","Crawford County","Not Shortage",74.2,74.8,0.6
"1705000","Van Buren School District","Crawford County","Not Shortage",88.9,88.8,-0.1
"1802000","Earle School District","Crittenden County","Shortage",65.4,62.4,-3
"1803000","West Memphis School District","Crittenden County","Shortage",83.7,75.8,-7.9
"1804000","Marion School District","Crittenden County","Shortage",81.1,75.5,-5.6
"1901000","Cross County School District","Cross County","Shortage",78.3,82.5,4.1
"1905000","Wynne Public Schools","Cross County","Not Shortage",84.3,80.6,-3.8
"2002000","Fordyce School District","Dallas County","Shortage",75.4,79.7,4.3
"2104000","Dumas School District","Desha County","Shortage",76.5,73.2,-3.3
"2105000","McGehee School District","Desha County","Shortage",85.8,84.8,-1
"2202000","Drew Central School District","Drew County","Shortage",84.2,82.8,-1.4
"2203000","Monticello School District","Drew County","Shortage",85.7,89,3.2
"2301000","Conway Public Schools","Faulkner County","Not Shortage",91.2,86.1,-5.1
